symbol,net_profit_cagr,north_net_inflow,ps,type,percent,has_follow,tick_size,pb_ttm,float_shares,current,amplitude,pcf,current_year_percent,float_market_capital,north_net_inflow_time,market_capital,dividend_yield,lot_size,roe_ttm,total_percent,percent5m,income_cagr,amount,chg,issue_date_ts,eps,main_net_inflows,volume,volume_ratio,pb,followers,turnover_rate,mapping_quote_current,first_percent,name,pe_ttm,dual_counter_mapping_symbol,total_shares,limitup_days
SH600984,221.40748618660368,,2.2938,11,10.07,False,0.01,1.731,1257043925,4.59,8.15,9.304,12.22,5769831616,,5769831616,,100,-29.00340149757635,30.68,0.0,-14.427444092463027,643965981,0.42,1089129600000,-1.03,96246967.0,142894616,2.37,1.731,30431,11.37,,31.09,建设机械,,,1257043925,2
SH601777,-29.860958832119966,0.0,5.6176,11,10.05,False,0.01,4.926,4521100071,11.39,9.47,20.6557,7.15,51495329809,1770912000000.0,51495329809,,100,0.5104456091147079,-32.77,0.0,5.457207722751067,1249177728,1.04,1290614400000,0.01,,112289193,2.69,4.926,293858,2.48,,23.24,千里科技,965.25,,4521100071,2
SH601890,27.4329972680472,0.0,5.7533,11,10.04,False,0.01,3.21,959400000,12.39,8.7,70.1439,20.41,11886966000,1770912000000.0,11886966000,1.13,100,8.274440516673824,39.94,0.0,11.351273183484167,991289357,1.13,1293465600000,0.31,,81901859,1.71,3.21,93828,8.54,,6.58,亚星锚链,39.616,,959400000,2
SH605033,-40.32732055231815,,4.447,11,10.02,False,0.01,3.378,135200000,28.67,0.0,15.5308,42.78,3876184000,,3876184000,0.523,100,2.6070613944005396,96.36,0.0,-1.504186032306154,78780659,2.61,1631721600000,0.22,,2747843,0.82,3.378,8691,2.03,,43.97,美邦股份,130.164,,135200000,4
SH600629,-13.929721259806271,0.0,2.6892,11,10.02,False,0.01,3.876,953117050,21.19,10.07,47.2789,-2.35,20196550290,1770912000000.0,20561476184,0.576,100,5.718430204684435,1383.69,0.0,-3.6635187243020284,803527911,1.93,729187200000,0.31,,38621147,2.17,3.876,55341,4.05,,-28.86,华建集团,69.03,,970338659,2
SH600893,-53.44034592063649,0.0,3.3989,11,10.01,False,0.01,3.83,2665124758,57.17,10.53,,42.82,152365182415,1770912000000.0,152392022586,0.17,100,0.6081674070435965,2174.34,0.0,4.442633701449483,5530400585,5.2,828892800000,0.09,,100418561,1.84,3.83,328460,3.77,,22.49,航发动力,629.475,,2665594238,2
SH600410,-50.02262686048526,0.0,6.043,11,10.01,False,0.01,5.689,1096494683,24.61,11.62,119.4057,37.64,26984734149,1770912000000.0,26984734149,0.028,100,13.511667162628108,1192.0,0.0,3.788571757466541,5537259810,2.24,1082995200000,0.54,-61745903.0,228716916,1.18,5.689,130384,20.86,,33.14,华胜天成,45.238,,1096494683,2
SH603960,-16.771600804103105,0.0,13.7186,11,10.0,False,0.01,6.502,262197900,27.73,11.74,77.6481,39.77,7270747767,1770912000000.0,7270747767,0.206,100,3.996288386116784,547.38,0.0,-9.651084121619268,780909766,2.52,1489420800000,0.17,-55845348.0,28986739,1.33,6.502,34046,11.06,,43.95,克来机电,165.056,,262197900,2
SH605289,45.49405557189241,0.0,10.1022,11,10.0,False,0.01,7.662,108337500,89.98,12.2,,36.83,9748208250,1770912000000.0,9808494850,,100,-2.2759321257309058,255.31,0.0,53.1405143044867,944517302,8.18,1619366400000,-0.27,88372706.0,10715147,1.69,7.662,14912,9.89,,44.0,罗曼股份,,,109007500,2
SH603331,10.977293857757765,,2.6195,11,10.0,False,0.01,3.018,202175636,19.8,9.44,10.6698,38.95,4003077593,,4003077593,0.404,100,5.501343270559685,166.97,0.0,5.822921718134344,529055139,1.8,1499184000000,0.35,14803100.0,27246999,0.8,3.018,9506,13.48,,44.03,百达精工,56.116,,202175636,2
SH603163,6.32370604283361,,4.8176,11,10.0,False,0.01,11.589,100000000,128.99,11.08,135.5744,88.03,12899000000,,12899000000,0.698,100,12.447694676178676,429.94,0.0,21.739853440211697,395203041,11.73,1665590400000,1.36,,3136574,0.88,11.589,12630,3.14,,44.0,圣晖集成,94.876,,100000000,2
SH603533,71.40825049282071,0.0,5.2719,11,10.0,False,0.01,7.142,438896835,37.62,4.74,,70.07,16511298933,1770912000000.0,16511298933,0.266,100,-5.433856310797166,565.17,0.0,8.779965739478278,2462157867,3.42,1505923200000,-0.3,,66354258,3.53,7.142,84180,15.12,,43.95,掌阅科技,,,438896835,6
SH603466,-2.64284583065566,0.0,3.972,11,9.98,False,0.01,3.298,594786019,11.68,7.82,26.2714,24.79,6947100702,1770912000000.0,6947100702,1.712,100,1.5716283801747455,168.8,0.0,4.358893931138175,1708631366,1.06,1508428800000,0.06,-82642450.0,148297137,1.37,3.298,51120,24.93,,44.02,风语筑,202.077,,594786019,2
SH605007,-0.812049391490488,0.0,0.904,11,9.97,False,0.01,2.275,401553050,16.43,9.24,,21.61,6597516612,1770912000000.0,7816243949,1.528,100,6.894683260518065,46.96,0.0,14.899354749611703,318974792,1.49,1604937600000,0.45,,20202717,1.6,2.28,14618,5.03,,44.0,五洲特纸,36.219,,475730003,2
SH600791,,,0.8209,11,9.95,False,0.01,8.368,452313696,7.29,10.26,45.3404,55.77,3297366844,,3301495200,,100,-17.857834398484464,412.95,0.0,-23.343174638354125,153431222,0.66,854553600000,-0.61,,21472022,1.36,8.368,26592,4.75,,0.0,京能置业,,,452880000,2
SH600397,88.91248835421779,0.0,4.1568,11,8.25,False,0.01,98.631,989959882,15.49,7.97,,103.82,15334478572,1770912000000.0,15334478572,,100,-169.55462714390924,414.82,-1.46,-29.084689391680342,2717326627,1.18,1025539200000,-0.42,171107839.0,174462407,2.35,98.6,42760,17.62,,102.34,江钨装备,,,989959882,0
SH603090,7.605933237765683,,11.0833,11,7.63,False,0.01,13.522,100000000,82.9,12.94,88.2686,49.5,8290000000,,8290000000,0.362,100,11.084266344471102,780.83,0.73,2.134994351279773,822581986,5.88,1472572800000,0.66,,10460274,2.0,13.522,12052,10.46,,44.04,宏盛股份,125.663,,100000000,0
SH605255,7.890499613097313,0.0,54.8592,11,7.15,False,0.01,22.45,134080000,135.11,7.91,154.5692,-38.03,18115548800,1770912000000.0,18115548800,0.329,100,3.9693748699293976,912.86,-0.18,-0.4245653055425125,365041160,9.01,1598284800000,0.24,,2720500,1.26,22.45,25474,2.03,,44.0,天普股份,556.865,,134080000,0
SH603103,53.22250686258174,0.0,9.8344,11,6.63,False,0.01,16.113,634200000,34.9,18.82,34.3027,110.49,22133580000,1770912000000.0,22133580000,0.401,100,6.754285962704825,175.99,-0.99,17.455910564242515,1327989337,2.17,1507737600000,0.15,-143928516.0,41525831,1.54,16.113,31118,6.55,,44.01,横店影视,239.963,,634200000,0
SH603297,-6.9700963397378635,0.0,15.0928,11,6.33,False,0.01,6.911,110729100,124.5,9.94,52.2879,18.23,13785772950,1770912000000.0,13811619150,0.684,100,11.373730897657605,463.59,-0.1,3.6708511671939004,409957861,7.41,1536508800000,1.98,,3305011,1.82,6.911,35174,2.98,,43.99,永新光学,62.962,,110936700,0
SH600641,,0.0,13.1365,11,5.81,False,0.01,2.164,930629920,18.95,9.72,,7.43,17635436984,1770912000000.0,17635436984,0.227,100,1.9167146618548507,1814.72,-0.05,20.393400605393364,931909886,1.04,734112000000,0.17,,49429235,2.21,2.164,56697,5.31,,175.0,先导基电,111.699,,930629920,0
SH600977,,0.0,7.7179,11,5.34,False,0.01,3.133,1867000000,18.55,8.01,,18.0,34632850000,1770912000000.0,34632850000,0.248,100,-0.07876290821128347,89.71,0.16,15.012654706911444,2044140997,0.94,1470672000000,0.0,-75295436.0,112662525,0.85,3.133,81557,6.03,,43.95,中国电影,,,1867000000,0
SH605136,-38.7373625634857,,2.8138,11,5.27,False,0.01,1.929,400458500,11.79,8.04,146.6919,7.67,4721405715,,4721405715,0.051,100,-1.3437342864414705,-31.19,0.0,-20.035786947923896,502876372,0.59,1601308800000,-0.08,-114124634.0,41693700,1.81,1.929,25565,10.41,,43.99,丽人丽妆,,,400458500,0
SH603045,26.965743024734977,,0.8694,11,5.17,False,0.01,3.975,135445155,29.9,12.21,,52.16,4049810135,,4049810135,0.204,100,5.998467962157695,211.57,0.2,31.680438519595278,306550472,1.47,1526486400000,0.44,,10432840,1.59,3.975,15351,7.7,,44.04,福达合金,67.986,,135445155,0
SH603021,-28.769467873271715,,5.2088,11,5.07,False,0.01,,319948070,6.42,5.89,51.461,37.47,2054066609,,2054066609,,100,-456.0643693760309,36.11,0.0,-20.920013047396026,85365972,0.31,1429718400000,-0.46,,13379440,1.09,,24204,4.18,,43.99,ST华鹏,,,319948070,2
SH603268,97.487312695461,,11.3701,11,5.0,False,0.01,12.044,124168800,100.1,6.51,77.3288,20.05,12429296880,,97174908130,,100,27.72598887300644,920.51,0.0,50.69237130174964,624904700,4.77,1426694400000,1.15,,6332800,1.23,12.044,21304,5.1,,44.0,*ST松发,86.722,,970778303,3
SH603667,-14.733958041643403,0.0,9.614,11,4.98,False,0.01,11.128,366202770,90.64,9.62,165.1944,29.52,33192619073,1770912000000.0,33192619073,0.132,100,3.096009747972536,938.39,0.0,3.1529892346260135,4849235546,4.3,1477324800000,0.25,,54025778,1.0,11.128,71965,14.75,,43.98,五洲新春,362.285,,366202770,0
SH600538,,,11.1951,11,4.81,False,0.01,4.586,524198348,6.75,6.52,,10.29,3538338849,,3538338849,,100,-9.484402874966374,49.84,-0.15,-12.407615642979719,139877426,0.31,1042473600000,-0.15,,21008400,0.71,4.586,17437,4.01,,112.71,国发股份,,,524198348,0
SH605183,14.202371217198028,0.0,4.1674,11,4.22,False,0.01,2.548,412429445,22.21,7.51,13.3617,11.5,9160057973,1770912000000.0,9236764650,1.351,100,16.432645998965,43.47,-0.09,8.373961968202925,153524611,0.9,1607270400000,1.34,,6917478,2.29,2.548,12414,1.68,,44.02,确成股份,16.525,,415883145,0
SH603929,62.05009341907135,0.0,7.6915,11,4.19,False,0.01,16.778,213360000,146.78,8.08,23.5594,53.7,31316980800,1770912000000.0,31316980800,1.363,100,36.18156240380978,2371.63,-0.03,7.601305962755678,913958154,5.9,1483027200000,3.0,,6194417,1.26,16.778,35879,2.9,,43.93,亚翔集成,48.983,,213360000,0
SH603000,-26.107952279584513,0.0,13.8786,11,4.09,False,0.01,7.744,1105691056,25.72,7.69,71.9132,35.01,28438373960,1770912000000.0,28438373960,0.513,100,5.139155545185102,262.35,0.23,0.691598543984373,3902499164,1.01,1335456000000,0.17,-250296539.0,149139784,1.7,7.744,124956,13.49,,73.6,人民网,152.311,,1105691056,0
SH603197,4.016443499474076,0.0,1.0035,11,4.08,False,0.01,2.517,213659844,37.79,5.76,19.5655,2.16,8074205505,1770912000000.0,8074205505,2.202,100,7.922094968073077,80.19,0.0,20.943733298420184,319922686,1.48,1495123200000,1.18,,8472134,2.4,2.517,42232,3.97,,43.99,保隆科技,32.045,,213659844,0
SH603306,7.127213151161205,0.0,10.453,11,3.82,False,0.01,8.28,329494313,77.96,7.22,74.0566,23.73,25687376641,1770912000000.0,25687376641,0.122,100,7.209793159218006,1113.2,-0.05,16.133889520074685,1111096719,2.87,1411660800000,0.77,,14299967,1.08,8.28,45371,4.34,,44.04,华懋科技,101.214,,329494313,0
SH603828,-47.335228919994975,,2.072,11,3.69,False,0.01,6.234,595939625,6.74,4.0,53.3985,-19.57,4016633073,,4016771465,,100,-15.360333027729201,26.69,0.75,-6.415967888846518,30639847,0.24,1424880000000,-0.18,,4607300,0.93,6.234,9718,0.77,,44.01,ST柯利达,,,595960158,0
SH603284,-4.4554812178594805,,1.6364,11,3.5,False,0.01,2.852,18473403,55.06,10.43,16.9589,45.35,1017145569,,4152338888,,100,,-12.76,0.11,-3.9070192328836573,464896407,1.86,1770652800000,1.83,-17769525.4,8460340,0.84,,750,45.8,,55.57,C林平,30.071,,75414800,0
SH603738,-42.23591565531129,0.0,7.3222,11,3.49,False,0.01,3.828,385887492,17.48,5.27,54.6127,11.27,6745313360,1770912000000.0,6745313360,0.463,100,2.16304866164563,348.75,0.17,1.3585123104896235,484934562,0.59,1474992000000,0.1,,27779082,1.9,3.862,37203,7.2,,43.99,泰晶科技,176.649,,385887492,0
SH600730,-33.69676733308107,0.0,52.4645,11,3.46,False,0.01,3.428,586656002,10.47,4.94,,-4.3,6142288341,1770912000000.0,6142288341,0.096,100,0.47238269703203056,290.56,0.19,-7.222275620951935,224121341,0.35,838310400000,0.01,,21342200,1.51,3.428,34832,3.64,,216.25,中国高科,726.238,,586656002,0
SH601595,,0.0,17.0774,11,3.44,False,0.01,8.417,448200000,32.51,9.74,107.9868,13.55,14570982000,1770912000000.0,14570982000,0.443,100,7.105309690433276,238.55,-0.52,27.530596743952195,1237957910,1.08,1471363200000,0.27,86623633.0,38280803,1.1,8.416,43716,8.54,,43.96,上海电影,119.374,,448200000,0
SH603922,,,5.8182,11,3.42,False,0.01,3.91,179200000,22.68,5.7,66.5281,9.25,4064256000,,4064256000,,100,1.9221901676960056,54.61,0.18,7.3500778032769,179954331,0.75,1508688000000,0.11,,7986120,1.21,3.91,6818,4.46,,44.01,金鸿顺,205.873,,179200000,0
SH600391,-6.805698454163389,0.0,3.9314,11,3.42,False,0.01,9.668,330129367,51.41,7.64,13.2607,38.57,16971950757,1770912000000.0,16971950757,,100,2.633560500655238,461.74,-0.02,6.065260446512588,1397970258,1.7,1008086400000,0.14,,27309177,1.04,9.668,252770,8.27,,259.57,航发科技,379.06,,330129367,0
SH600673,-4.396720784630437,0.0,7.9605,11,3.34,False,0.01,11.684,3001557927,37.8,6.78,163.243,68.52,113458889641,1770912000000.0,113761181230,,100,10.286041567756035,3713.94,0.61,8.813790737188887,4643225437,1.22,748195200000,0.32,,124910651,1.46,11.684,76419,4.16,,238.16,东阳光,117.518,,3009555059,0
SH600966,-14.377784224845103,0.0,0.5798,11,3.19,False,0.01,1.525,1336844288,8.42,6.37,3.9743,23.28,11256228905,1770912000000.0,11256228905,0.333,100,2.093213701823256,397.61,0.0,2.1732446091234037,262694257,0.26,1086624000000,0.11,,31165121,1.32,1.525,36661,2.33,,24.73,博汇纸业,75.998,,1336844288,0
SH600960,,,1.6911,11,3.17,False,0.01,1.505,950515518,5.85,10.23,,4.84,5560515780,,5560515780,,100,-20.98882888553617,62.3,0.34,-9.64025639528674,791870870,0.18,1081267200000,-0.91,,135275001,2.9,1.505,24795,14.23,,100.0,渤海汽车,,,950515518,0
